Facebook,is very awesome it's very good for four people you could contact and family members and friends and loved ones and you're late your girlfriend or your wife you haven't talked to for a while or you talk to us shortly out of three or four months it's a very good app and I love it,1
Facebook,non stop update hell. multiple times a week you are harassed into updating. They seem incapable of planning ahread or scheduling.,0
Facebook,gane the good latest knowledge and good experiance or any latest news and information early and easy or short time seen. The villegers are some people wrong material sold this information very fast moved on facebook. Over all always experiance is very exilent. I appriciate the facebook for good know...,1
Messenger,I've been trying to get on messenger for the past couple of days and I all I keep getting is ' app keeps closing ' or ' close app ' why is this happening it's a nuisance as I use messenger a lot.READ ALL REVIEWS,0
Messenger,"after last update it crashes all the time, when i try to open chat or close the messenger.",0
Messenger,Becoming best day by day,1
Messenger,I got a new phone and it started ringing #Surpise it was a phone call on messenger from my brother. I didn't know you could do that! Very happy! Great sound quality. I live in the mountains so I can't receive phone calls on my cell. So this was awesome! Thank you!,1
WhatsApp,unable to end call our turn on speaker in call,0
WhatsApp,I am Loving it because it makes contact with everyone easy and quick ,1
WhatsApp,Not working properly I'm messaging now message is arriving after 4-5 minutes please try to solve it,0
Viber,better then whatsapp! been using this for over 7 years. the location is very handy for when someone doesn't believe you're where you say you are. I love the gifs and all the free stickers ,1
Viber,"That was great app once, i loved it. But now its the shittiest app on my phone. Messages are late all the time, and it is impossible to have clear call. I am keeping one star untill its fixed. And I am searching for a new messenger app to switch to.",0
Viber,Viber is one of the best video calling app but it doesn't have better facilities on chat. Main issued on viber is we cannot see who are available on chat ,1
Imo,"this app is so far the only app that is able to safely store away all your ever saved contact while using it. as soon as you reinstall and log in, it's able to reconnect you to contacts you've long lost. the only problem i have which i think they should do something about",1
Imo,Hacked Many times My friend someone is access her IMO always sending messages from her imo to her friends block some of them. only imo this happen with not other chats applications so this means that this person access her imo not her mobile. she formatted her mboile delete her imo account then rein...,0
Imo,I just uninstalled the app due to my speaker not working on calls. It only comes through the earpiece. Now its stating that my phone number is not valid during reinstallation.,0
Skype,Excellent app in the world. recommend to my friends and alls. Thanks,1
Skype,Skype was the top until i updated to the newest available android version today. Since then I can't use Skype anymore. It just starts and then keeps hanging without being able to go forward nor backwards. Get that sorted immediately and I will give you again a 5 star rating!,0
Skype,"It Used to work very well, however, that changed a while ago. The free calling feature doesn't even work anymore because most likely they want you to pay for it. I just use it once in a while only. I've switched to ader apps that work much better than this one without the added charges.",0
WeChat,"Banned 1 day after install, and I'm required to find a user who's account has been active for 6 months yet all of my friends had downloaded the app on the same day. Now I won't be able to talk to them while they are in China for weeks. Do not download if looking for a reliable message service.",0
WeChat,life changing experience...it changed my life completely... i m in a relationship since 3 years I found my perfect match here..... n still we both use wechat day n night...almost 75%of my data is used using this app.... really loved this app... we are at a distance near abt 2500km but this app doesn...,1
WeChat,"It is hard to describe how comprehensively awful this app is. I needed to reactivate my account. Can't be done. The account can't be ported from one phone number to another, so if I'm working in another COUNTRY I can't use the account. The account is tied to a phone number, not a person. ",0
Line,"works great, much better than whatsapp. However I keep getting notifications saying that I have unread messages from several contacts, but that's not true. I check my messages when the notifications for an individual message comes and there's not any I can find that I missed.",0
Line,Really annoyed as i just transferred my line between devices. At no point was i asked if i wanted to beack up chats before confirming the transfer. So i didn't. I didnt know it was necessary since my pc version of line has all my chats. It really sucks that there is no way to back up line ,0
Line,"This is the best chat app ever.. Also there is a cute stickers that you can download or purchase.. (eddited) If you suspend me on your Line square service for violating your Term and Service, You should tell me the things I did so you suspend me. I will never know which my behavior that might Violat...",1
Wemoji,"It's really easy to use and now there's also a new feature that allows you to share it with friends! But it'll be great if it allows you to cut a certain part of the picture and remove it, so you can add in another picture behind the original.",1
Wemoji,"It would be great if the ""undo"" button works properly. I don't want to be restarting every time.",0
Wemoji,This is so awsome! You can make stickers that you want!,1
Video Call Recorder,very difficult to use.. is focused on showing ads only. recorded only my voice.,0
Video Call Recorder,Worst app ever.. dont bother downloading it. only recorded my voice and not the other party.,0
Video Call Recorder,fake app. all user who tell good for this app the all are fake accounts from app wender..,0
Share Chat,really good interesting app,1
Share Chat,super this good but one thing this is very super,1
Share Chat,plz make age criteria for 18+ only there are number of people who are below 18...this app is not good for them.,0
YouTube,"What's up with the pop up ads showing up now on YouTube. Even with the monthly fee for YouTube Red, these pop up ads are still showing up. Sorry but you lost your 5 star rating until this ""problem"" is resolved. YouTube should credit subscribers to YouTube Red for every month these commercials remain...Full Review",0
YouTube,My family enjoys YouTube any time of the day... it helps me explain things I don't have full answers to. I'm a single mom that turns to YouTube for everything even to fix my car!,1
YouTube,it is very nice app we find everything on this app i think this app is very useful nowadays.If any confusion we can clear from YouTube and if we want to see anything. then we take use of it . my favourite app😘😘,1
Netflix,it is very nice app we find everything on this app i think this app is very useful nowadays.If any confusion we can clear from YouTube and if we want to see anything. then we take use of it . my favourite app😘😘,0
Netflix,it doesnt let me on the app it keeps saying netflix has stopped working also very limited movies and i thunk now tv is betterREAD ALL REVIEWS,0
Netflix,I love Netflix,1
Google Play Games,Very sad with this app... Was expecting WAY more from Google... I had amazing progress in a game but Google was logging in every time but still couldn't read my achievements... What I mean is that when I opened Google Play Games it did not show my progress,0
Google Play Games,"When you enter something in the search box, you’ll find filters to narrow down the results. Free kung fu arcade games? Boom. - Wish you could just focus on Brawl Stars in the Hub? Now, you’ll find all the game's activity right on the detail page.",1
