Serial NO,                  Game Name,                                Review,    Positive/Negative
1,PUBG mobile,"Controls are inevitably a little awkward until you get used to them and there is just one map, but this is a tense shooter that will suck you right in",0
2,PUBG mobile,"Love the game. Amazing graphics, etc. The only problem is that sometimes it does load a bit longer for mobile devices. Also, it occasionally but rarely lags a bit but I guess that's cause of the internet. Overall, great game. Highly recommend it. (Since the new resident evil update happened I've been getting laggier and laggier. Idk what's causing it but if it's the update then it has to be fixed)",1
3,PUBG mobile,"Best FPS game.but one thing I have noticed today, that is Church. Church is a holy place, so it should not be source of ammunition. Church is good for hiding and exploring but guns, generades should be removed. What if a teenage, a lover of pubg walks with his father passing near a church and tell his father ""It is the place where we find loot"", you know what I mean. All holy places have its dignity and should be maintained by each and every individual. Please remove ammunitions from Church.",0
4,Candy Crush Saga,"SUGGESTION: I would like to suggest a type of ""Candy Bandit"" level where you can shoot the candy out of the sky while collecting candy, points, and special candy - before you get ""crushed"" by the candy bandit or blown up by those hateful candy bombs.. Candy Crush Saga is a SWEET way to pass time on",1
5,Candy Crush Saga,"Game is not fun anymore. The developers make the game easy to start,get you hooked. I have played this game for almost 6 years, and am far in. I have spend money on it. But I am going on every site I can encouraging people to Not download this game.",0
6,Criminal Case,"This game is fun. If you like spot the difference or memory games, then this is for you. Sometimes its frustrating as you run out of energy, but you can make in app purchases which can give you more. You can also speed the investigations along by making purchases as well, but that can make it pretty expensive. If you could use the coins gained to buy energy that would be awesome.",1
7,Criminal Case,I have been playing for a couple of years. I solved all the crimes that there were right to the end will you take the plane to Pacific Bay. I did not lose my stars or my money or my animal helpers or my friends or my detective level when I went to Pacific Bay. I completed all the crimes in Pacific Bay and had to fly to the next place and that was save the world. here I lost my money my animals all my friends and basically had to start all over again. That was disappointing,1
8,Criminal Case,"I've played this game for a long time. I finished Pacific Bay and was flying to a new world, which ended up being a whole new app. In order to continue, I lose all my friends, my pets, my levels. I know the game can be played in the original app because my husband still plays all worlds in his Criminal Case game without downloading another one, keeping all his friends, pets, levels, and bonuses.",0
9,Pop Slots Casino,"done it again, I keep losing, never win big, but ppl around me seem to supposedly win big, is this a gimic to make me keep going!!!! iv now payed for more coins, but again I just keep losing, the wins are not consistent, ment to be fun, but it's just wonting u to spend, I'm about to deleat this game, lets see if I lose 'again' the coins i bought.",0
10,Pop Slots Casino,"Did they make it harder to win after the update? i have better odds at a real slot machine than this game. Its fun to play but i can never win a dime. Time to find a new slot game, that actually lets you play.",0
11,Pop Slots Casino,"I'm starting to get really pissed off. Spent some money to buy coins and then POOF can't win anything and the chips are gone within 10 minutes. I'm not the only one complaing about this either. At least let me play for a good few hours before taking all my money. I'm not even betting high. Can't do anything without going through 5 plus screens of ads for buying chips and then when you cave in, you get crapped on. Can't even play everyday because you can only get so much from daily bonuses.",0
12,8 Ball pool,"not going to waste one penny on this game. its not that good. these guide lines are so long. ridiculous. how many times do i attempt to grab the cue which is on the other side of the table from the power meter but the cue decides to move instead? too many. Also, i keep getting invites to play a match by my friend who i am with at the time and isn't even on the game.",0
13,8 Ball pool," It would be a fun game if, at any time at all that I broke, I got a ball in or when my opponent breaks, they don't. Unfortunately, that isn't the case. Literally every time. It's hard at this point to not see it as a flaw on at the creators hands when, no matter my cue stick, placement on the cue ball or power of said ball or stick I always barely miss any ball sinking a pocket. and no matter what, they sink 2 stripes and a solid or three solids. I. Hate. This. Game",0
14,8 Ball pool,"The game is great fun. However, everything is monetized. It asks me to break out my plastic everywhere I look. So I tried it once. I spent like $10 of real money for a 1/4 pool stick I couldn't use. You can only use your money to buy mystery boxes, which usually yield jack. No matter how much they ask... DO NOT TAKE YOUR WALLET OUT. IT WILL GET YOU NOTHING. THEY ARE GREEDY. You even have to purchase chat packs to effectively communicate with other players. 1 star for ethics.",0
15,Angry Bird Classic,the game is now so full of Ads making it nearly unplayable. there is no purchase option that would remove the ads and improve the experience and in any case the app is so glitchy particularly on the daily challenge and master league that it would not be good value for money. Can't link to account so I can play across other devices. shame cause it used to be such a great game. Now daily challenge has not been working for over a week and master league has removed all stickers I've accumulated!!!!!,0
16,Angry Bird Classic,"I played angrybirds when they first came out and also some subsequent spin-offs. After years of inactivity I decided to try again as I was bored while on the toilet. I feel like the developers have made a wrong choice in moving the game into free to play with purchase options for upgrades, unlocks and looong ads. I would gladly have paid for the game if it retained any of the skill and persistence aspects of the original, sadly so far I don't have that feeling, but rather a feeling of nostalgia.",0
17,Angry Bird Classic,"Game is great, but app is terrible. Don't install if you can't handle constant freeze. Offline mode is getting freezed even more. So you need to exit app on device, clear ram and catch and start again. Which is frustrating and time consuming. Very bad guys. I get that you have other games or priorities, but this app is terrible now. Was better when Android 4 was popular",0
18,Temple Run,"I think I was a good day and age. I think it was not the intended recipient of a problem, 21st may have a look. if the item to you, I was just the jas for my first post a reply from my HTC Desire mobile phones and a bit more. we have been in business, we will not receive the best of all 21st. the first to review the new York. the other side. it has to do so by turning off the coast, but it was not a good time for me to but the best of all, but it wouldn't hahave thought of the year have to do to",1
19,Temple Run,At the end of your run it will ask would you like to watch an advertisement to continue you run. You decide no I don't want to watch an advertisement and you end your run to start over. They immediately make you watch an advertisement ANYWAY before they let you start anew. Pathetic! Literally makes you watch ads every time. The game is way to rudimentary for that to be honest. Don't waste your time people.,0
20,Temple Run,I dont really think it is that good. It was a tilt and you die when you tilt so ya. I would hope you work more on it and please get rid of the tilt. It dose not help you. I gave you 2 stars because I like it better if it is a game in an arcade.,0
21,Temple Run,"its HORRIBLE to me. i dont like it at all. its not like the old temple run. Where's the rope that you jump up on and slide, the chest, the gems, the objects you could get? i liked the stuff about the old temple much much much run rather than this. i dont like the update .i would not recommend this temple run if you liked the old one with all the stuff that it had",0
22,Ludo King,"Nice game. It recalls the childhood. Only one thing I dislike is advertisement of some adult topics. Ex-Docsapp. Which types of chat conversation are flashing there, it can give a bad impact on kids. Not only we adult are playing this game, kids are also playing. So, plz take care of this thing. """"I have already sent the screenshot but those ads are still playing during the game.""""",0
23,Ludo King,"Don't know why but I never won playing with friends, they always get the exact numbers on the dice which they need but I never get the numbers which I need never. That's it but if anyone else too doesn't face this same problem then it's a fun game Edit: Won my first game today infact I just won the game and updated the rating and now I know anyone can win it just depends on your luck. As I said earlier it's a fun game",1
24,Ludo King,This is not a fair game. It always decides the wining player at the begining and keeps supporting him till he wins. This is the reason why frustrated players are losing interest in the game. This is why when you go for online multiplayer game there are so few players playing. Eg. earlier we would see lakhs of player playing online but now we see only few thusand.,0
25,Subway Surfers,"Love the game however, it underperforms on my phone. Also, if you live in NYC, it lags and messes you up when you connect and disconnect from the internet/mobile network while in the subway (actually surfing). Otherwise, it's probably the best game to train your gaming input reaction. As the game gets faster and demands quicker inputs; you'll realize how valuable it is to cancel animations to manuever around the track. If you're a fighting game finatic, this works great as a complimentory MG.",1
26,Subway Surfers,"Overally a good game. Or it couls be good for some. It is too fast paced. The game often may end quickly. You can't play it chill. Ideally there should be different levels of pace for the different players. It is repetitive. Which includes also that you play on the same track, the same scenery and things. It could be developed further. It can be a very fun game for some players. For those who seek fast pace and reactions and might love the genre",1
27,Subway Surfers,"Very cool game, more intresting and addicting as you get better and you play more. Such as: Doing missions, completing awards, getting high scores and getting medals in Top Run. Also there are upgrades for powerups. It is a very simple game and as trains come to you have to dodge them. Every few weeks an update comes out and devs are very active and up to date with every update. I would totally recommend this never ending game. Its very fun! I hope you like the game and my review on this game",1
28,Minion Rush,"There are both pros and cons to the new version. I like the new version because it is easier to earn tokens. The old version didn't have as many lags. In the game, there is an ad that stops a second before it says it will stop (toy brick crush or something like that), making you either press it to go to the play store, or close minion rush and have to wait three minutes to get back in the game, and that ad usually pops up when you press ""watch ad to revive"". I will rate 5 stars when it is fixed.",1
29,Minion Rush,"this is a fun game, but when I try to use my tickets from an event, it decreases my amount and doesn't give me the item. Also, when I'm opening the prize pods, after 4 or 5, it won't play the video. I have to go out, close the app, and go back in. otherwise, it is a great game!",1
30,Minion Rush,I used to play this game all the time where you could just run for as long as you wanted to until you died. now there are these dumb missions that mess up literally everything. you're just playing and it stops and tells you that all the targets have been reached and it takes me out. why can't it be without missions????? why??????,0
31,Chess,I had a draw on the first and only game I played. The description said it is for any level but there's no tutorial. There are written instructions but they're useless when I'm in the game. I am uninstalling and looking for a game that has a tutorial for beginners. Otherwise this game is nice.,0
32,Chess,"good graphics, but whoever developed this didnt bother with following chess rules. theres many times where I've had the king in Checkmate and because the computer ran out of moves, it rules it as a draw. There are rules in Chess that govern draws and losses, and they didnt follow them very well. There have also been times that the game ended with me losing, even though I still had plenty of freedom to move. I give it 2 stars because of functionality.",1
33,Chess,"I like this app. however, I find that many times the computer makes moves that throws the game , making it easy for me to win. Sometimes the castle or the queen will move into a corner, and just move one space back and forth when it could clearly be attacking me. I think that this needs to be fixed in the program. Sometimes the computer will just give away a piece. For the most part the games are extremely challenging. I've learned some valuable strategy .",1
34,Clash of Clans,"I think and know this game is amazing, like who would come up with bomb wielding skeletons in an Air Balloon. you can battle online, single player, and you can build your own village however youd like, no interferences. You can also make your very own clan. It does have a few mishaps though, but very few, like the cost of the black elixir collector and how much space the wizards take up, but that's about it. This game is amazing overall and I hope you guys will enjoy it to!",1
35,Clash of Clans,"Back in 6th grade, I downloaded clash of clans, thinking it might be a fun game to play to pass time. Little did I know, clash of clans would help me through the toughest time of my life. When my grandma died, I was lost. I had lost hope on life and I began resorting to drugs like crack and eventually crystal meth. Then one day, my wizards upgraded to lvl 6 and my life changed. I started 3 staring bases, and I got hope. Hope that I could live without my grandma and stop doing crack. Thank you coc",1
36,Meena Game,This more tells about that what is right and what is wrong. It also advice us many things. For this app kids can learn different types of things that is pretty good. So all kids should play this.,0
37,Temple run 2,"it's decent... it has a lot of microtransactions, but after all, it IS a free game. it's actually well made and original, with minimal ads, goofy moments, and a lot of effort put into it. some of the stuff is impressive for a mobile game engine. it DOES have a lot of level grinding though... but not too much, like certain other games.",1
38,Word Cross,Hard game but good for mind power,1
39,Word Cross,Its fun an first placed. I m enjoying this very much,1
40,Word Cross,Its not what it says its not fun its boring,0
41,Mafia City,the game is good. but it only for people who are really up for spending big time. if you play without spending its very much frustrating because no matter how much you power up there are people who buy buffs and will come and make you zero in moments. you will end up being farm for other base where they will come and take all your loot i've been playing this game for a year now. i have to maintain 4 account just to keep up and upgrade my buildings to level 30 mansion which took me 9 months,0
42,Mafia City,I HATE these kind of games. Boring. Just here to get diamond offer. Way to long upgrading stuff or getting anywhere. Don't even know how to play yet but much more powerful clans can just blow everything up and suck resources dry before you even know how to return the gestures. Hope I can suffer through to 15 and uninstall this non action packed slow moving bore of a game soon.,0
43,Block Puzzle Legend,I really enjoy this type of game and this is one of the best of this type. I wish someone would make a mode where you can rotate the blocks (without the need for stars). Sort of like how it was in the old Tetris. Thank you for a great game.,1
44,Block Puzzle Legend,Time pass game no matter what ever graphics it's a game to be played starting I was not liking it I deleted 3 times n now I am getting use to this game so I kept it now I will not delete it.,1
45,Block Puzzle Legend,Thanks dear for your help with this matter is greatly appreciated I will be able to get a hold of hours to go I have his number and don't want me to send it again and again just to go over your head and I an not e it in the mail tomorrow morning at a little more about you want me the new one I will like I am going in a bit and get the rest in a bit to pick it again for we're excited with with with with you we ended the day I will like it in with me a a good BB hkrkrheoeirto the same kind regards,1
46,Zombie Tsunami,"Ads!! There are to many ads now, and when you watch the videos for free diamonds, 90% of the time you won't get them! Or if you die at the end of the game and watch a video, you still die. I spend more time watching videos then playing the game. And I've been playing and loving this games since it first came out years ago, but I'm sick of not getting diamonds after watching allll the videos. Wasting my time! Fix this now!!",0
47,Zombie Tsunami,"Frankly,, I'm getting a little sick of this game. The bird updates continue to just be more of the same bird again and again, instead of moving forward you just end up with 3 of the same bird - and its just getting on my nerves. There's no point in putting up with increasingly aggressive ads just to",0
48,Hill Climb Racing,Idk why people are hating on this game so much. I used to play it so much as a kid on car trips and it's a good game to pass the time. people claim to not know how to play it? it's rlly simple actually. Sure it doesn't really obey the laws of physics but that's what makes it a fun and interesting game.,1
49,Hill Climb Racing,bad game in the world i dont know the controlles and i dont know how to complete mission ,0
50,Hill Climb Racing,this game is becoming worst update by update . The vehicle's overall performance has been decreased. example The Monster Truck used to flip and black flip a lot in the highway track but now after the update it doesn't even go as fast as it used to go before. looks like the developer is decreasing the overall performance or strength of the vehicles didn't like it,0
51,Hill Climb Racing,"This game should be #1 on Google play Top charts! It's offline and addictive! I've unlocked all stages and almost all vehicles, having fully upgraded more than 10 vehicles, and built a few in 'garage' too! My only complain is about a must-have option which is unfortunately missing in this fantastic game : ""an option to revive and continue the game at least once in the end of every round by spending a few gems!""",1
52, Dhoom:3 The Game,"the controls are very poor! ! I request you not to download this game. after deleating this game my phone isn't working properly. I think this game has some kind of virus or that kind of stuff. personally I think it is no that bad. it just needs some improvements. I gave it 2 stars because it's not that bad. and also,99 games have done a bit hard work to make this game .try to make button controls please. try making more games with better controls.best of luck further!!!",0
